seed,bs,epochs,emb_dim,num_feature_maps,ks,upsample,lr,dropout,max_vocab,additional_data,embs,activation,strip,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f,1_p,1_r,1_f,2_p,2_r,2_f,3_p,3_r,3_f,best_epoch,best_macro_f,pred_file,1_auc,2_auc,3_auc,macro_auc,cm_11,cm_12,cm_13,cm_21,cm_22,cm_23,cm_31,cm_32,cm_33
0,256,500,300,100,3,False,0.1,0.2,-1,combi,True,,,0.8478130617,0.8478130617,0.8478130617,0.6396455119,0.5816672363,0.6058436542,0.5802469136,0.4196428571,0.4870466321,0.431372549,0.3859649123,0.4074074074,0.9073170732,0.9393939394,0.9230769231,191,0.6241418813,,,,,,,,,,,,,,
0,256,500,300,100,3,False,0.1,0.2,-1,combi,True,,,0.8478130617,0.8478130617,0.8478130617,0.6396455119,0.5816672363,0.6058436542,0.5802469136,0.4196428571,0.4870466321,0.431372549,0.3859649123,0.4074074074,0.9073170732,0.9393939394,0.9230769231,191,0.6241418813,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.1,0.2,-1,skaschi,True,,,0.83163571,0.83163571,0.83163571,0.6103027196,0.6048976608,0.6028179225,0.4823529412,0.3660714286,0.4162436548,0.4325581395,0.5438596491,0.481865285,0.9159970782,0.9047619048,0.9103448276,380,0.6099487842,,,,,,,,,,,,,,
0,256,500,300,10,3,False,0.1,0.2,-1,skaschi,True,,,0.845416417,0.845416417,0.845416417,0.6355896657,0.5786514898,0.6027164902,0.5421686747,0.4017857143,0.4615384615,0.462585034,0.3976608187,0.427672956,0.9020152884,0.9365079365,0.9189380531,492,0.6051524866,,,,,,,,,,,,,,
0,256,500,300,10,3,False,0.1,0.2,-1,skaschi,True,,,0.845416417,0.845416417,0.845416417,0.6355896657,0.5786514898,0.6027164902,0.5421686747,0.4017857143,0.4615384615,0.462585034,0.3976608187,0.427672956,0.9020152884,0.9365079365,0.9189380531,492,0.6051524866,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.1,0.2,-1,sbil,True,,,0.8286399041,0.8286399041,0.8286399041,0.5996310509,0.5883078909,0.5875314875,0.4615384615,0.3214285714,0.3789473684,0.4239631336,0.5380116959,0.4742268041,0.9133915575,0.9054834055,0.9094202899,220,0.6103395175,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.01,0.2,-1,skaschi,True,,,0.8358298382,0.8358298382,0.8358298382,0.6820924105,0.5942428673,0.5706267221,0.7037037037,0.1696428571,0.273381295,0.4115646259,0.7076023392,0.5204301075,0.9310089021,0.9054834055,0.9180687637,489,0.5727425011,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.01,0.2,-1,skaschi,True,,,0.8358298382,0.8358298382,0.8358298382,0.6820924105,0.5942428673,0.5706267221,0.7037037037,0.1696428571,0.273381295,0.4115646259,0.7076023392,0.5204301075,0.9310089021,0.9054834055,0.9180687637,489,0.5727425011,,,,,,,,,,,,,,
0,256,500,300,100,3,True,0.01,0.2,-1,combi,True,,,0.8400239664,0.8400239664,0.8400239664,0.6928052679,0.578838194,0.570017647,0.7307692308,0.1696428571,0.2753623188,0.4285714286,0.649122807,0.5162790698,0.9190751445,0.9177489177,0.9184115523,496,0.5725285372,,,,,,,,,,,,,,
0,256,500,300,100,3,True,0.01,0.2,-1,combi,True,,,0.8400239664,0.8400239664,0.8400239664,0.6928052679,0.578838194,0.570017647,0.7307692308,0.1696428571,0.2753623188,0.4285714286,0.649122807,0.5162790698,0.9190751445,0.9177489177,0.9184115523,496,0.5725285372,,,,,,,,,,,,,,
