seed,bs,epochs,emb_dim,hid_dim,upsample,lr,dropout,max_vocab,additional_data,embs,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f,1_p,1_r,1_f,2_p,2_r,2_f,3_p,3_r,3_f
2,256,200,300,300,False,0.01,0.2,-1,False,True,0.8323699421965318,0.8323699421965318,0.8323699421965318,0.27745664739884396,0.3333333333333333,0.3028391167192429,0,0,0,0,0,0,0.8323699421965318,1.0,0.9085173501577287
0,256,200,300,300,False,0.01,0.2,-1,False,True,0.8323699421965318,0.8323699421965318,0.8323699421965318,0.27745664739884396,0.3333333333333333,0.3028391167192429,0,0,0,0,0,0,0.8323699421965318,1.0,0.9085173501577287
1,256,200,300,300,False,0.01,0.2,-1,False,True,0.8323699421965318,0.8323699421965318,0.8323699421965318,0.27745664739884396,0.3333333333333333,0.3028391167192429,0,0,0,0,0,0,0.8323699421965318,1.0,0.9085173501577287
1,256,200,300,300,False,0.1,0.2,-1,False,True,0.8426461143224149,0.8426461143224149,0.8426461143224149,0.4311812610192259,0.4616255144032922,0.4458834966872338,0,0,0,0.3953488372093023,0.425,0.40963855421686746,0.8981949458483754,0.9598765432098766,0.9280119358448341
2,256,200,300,300,False,0.1,0.2,-1,False,True,0.8490687219010918,0.8490687219010918,0.8490687219010918,0.44198648120216744,0.4605452674897119,0.45069853666232795,0,0,0,0.43137254901960786,0.4125,0.42172523961661346,0.8945868945868946,0.9691358024691358,0.9303703703703704
0,256,200,300,300,False,0.1,0.2,-1,False,True,0.8432883750802826,0.8432883750802826,0.8432883750802826,0.43485913634588386,0.4728395061728395,0.4528900584081952,0,0,0,0.40217391304347827,0.4625,0.43023255813953487,0.9024034959941734,0.9560185185185185,0.9284376170850506
2,256,200,300,300,False,0.01,0.2,-1,True,True,0.8285163776493256,0.8285163776493256,0.8285163776493256,0.3441930618401207,0.33787638023061567,0.314040385795574,0.2,0.019801980198019802,0.036036036036036036,0,0,0,0.832579185520362,0.9938271604938271,0.9060851213506859
0,256,200,300,300,False,0.01,0.2,-1,True,True,0.8233782915863841,0.8233782915863841,0.8233782915863841,0.2773091066407095,0.3297325102880658,0.3012571965691458,0.0,0.0,0.0,0,0,0,0.8319273199221285,0.9891975308641975,0.9037715897074374
1,256,200,300,300,False,0.01,0.2,-1,True,True,0.8246628131021194,0.8246628131021194,0.8246628131021195,0.3009752183439805,0.33329004196715967,0.30707689480374284,0.07142857142857142,0.009900990099009901,0.017391304347826087,0,0,0,0.83149708360337,0.9899691358024691,0.9038393800634025
2,256,200,300,300,True,0.01,0.2,-1,False,True,0.07193320488118175,0.07193320488118175,0.07193320488118175,0.3551664504971898,0.33616255144032925,0.04659275716707468,0.0654993514915694,1.0,0.12294583079732198,0.0,0.0,0.0,1.0,0.008487654320987654,0.016832440703902062
2,256,200,300,300,False,0.1,0.2,-1,True,True,0.8426461143224149,0.8426461143224149,0.8426461143224149,0.60170553513927,0.5991754268019395,0.6002959477333711,0.4583333333333333,0.43564356435643564,0.4467005076142132,0.42168674698795183,0.4375,0.4294478527607362,0.9250965250965251,0.9243827160493827,0.924739482825164
1,256,200,300,300,False,0.1,0.2,-1,True,True,0.838150289017341,0.838150289017341,0.8381502890173411,0.5942432735031039,0.5925057552051501,0.5933587432255306,0.43434343434343436,0.42574257425742573,0.43,0.42857142857142855,0.43125,0.4299065420560748,0.9198149575944488,0.9205246913580247,0.9201696876205169
0,256,200,300,300,True,0.1,0.2,-1,True,True,0.552344251766217,0.552344251766217,0.552344251766217,0.4051562252730325,0.49085177036222144,0.34041950541337423,0.06666666666666667,0.009900990099009901,0.01724137931034483,0.1813664596273292,0.9125,0.3025906735751296,0.9674355495251018,0.5501543209876543,0.7014264633546482
